"ID VZ","Název VZ","Datum vytvoreni","Datum uzavření smlouvy","Smluvní cena bez dph","Úředni název ""dodavatele","IČO"
T004/16V/00030730,"Baterie, monočlánky",2016-08-29 13:06:08.62,2016-10-11 00:00:00,25012.00,"JAROMÍR HUTLA - BATTERY CENTER s. r. o.",26012979
T004/16V/00034374,"Nákup malých spotřebičů",2016-09-21 14:33:40.629,2016-10-11 00:00:00,30175.00,"AZPO Group s.r.o.",61326038
T004/16V/00033251,"Oprava vířivky",2016-09-14 15:18:38.009,2016-10-11 00:00:00,12396.70,"USSPA, s.r.o.",63218003
T004/16V/00036093,"4 DP- Předání nebezpečného odpadu jiné oprávněné osobě ",2016-10-04 07:21:34.104,2016-10-11 00:00:00,5257.00,"Roman Maroš",15283844
T004/16V/00036903," Evidenční zadání G 189/3 odborná servisní prohlídka myčky a změkčovače vody",2016-10-07 08:26:52.838,2016-10-11 00:00:00,3950.00,"Ctirad Šmíd",15385027
T004/16V/00033592,"Spotřební materiál",2016-09-16 12:17:50.993,2016-10-11 00:00:00,2394.00,"SARSTEDT spol. s r.o.",43000916
T004/16V/00033591,"Chemikálie",2016-09-16 12:17:44.007,2016-10-11 00:00:00,4702.00,"VWR International s r.o.",63073242
T004/16V/00033617,"Revize laminárního boxu tř. II",2016-09-16 13:30:58.645,2016-10-11 00:00:00,7950.00,"TRIGON PLUS spol. s r.o.",46350110
T004/16V/00033593,"Chemikálie",2016-09-16 12:17:59.609,2016-10-11 00:00:00,2266.12,"Daniel Hanuš",2062411
T004/16V/00035967,"DP: Odvoz a odstranění nebezpečných, ostatních a biologicky rozložitelných odpadů v roce 2016 (15.DP)",2016-10-03 12:25:13.266,2016-10-11 00:00:00,9200.00,"Purum s.r.o.",62414402
T004/16V/00037538,"Přezutí, vyvážení 2ks pneumatik techniky BUS C-735. Pneumatiky vlastní.",2016-10-11 14:27:06.098,2016-10-11 00:00:00,1074.38,"ContiTrade Services s.r.o.",41193598
T004/16V/00011261,"PS 0135 - Stavební opravy VŠZ Špindlerův Mlýn, VŠZ Špindlerův Mlýn",2016-04-04 09:35:16.468,2016-10-11 00:00:00,171834.20,"VV TOP s.r.o.",49977202
T004/16V/00031071,"Podrobné a běžné prohlídky ocelových konstrukcí, prohlídky bezpečnostního systému Glide Loc.",2016-08-31 10:25:26.988,2016-10-11 00:00:00,470000.00,"INGMAR, spol. s r.o.",45316457
T004/16V/00033998,"Nákup materiálu pro zabezpečení provozu a oprav techniky a materiálu  17/4/85/2016-5153",2016-09-20 10:53:31.844,2016-10-11 00:00:00,101249.00,"Květa Navrátilová",88145115
T004/16V/00032544,"vruty",2016-09-09 10:15:26.992,2016-10-11 00:00:00,1250.75,"MADE IN... spol. s r. o.",49706764
T004/16V/00034187,"Nákup masivních pracovních desek",2016-09-21 08:18:05.078,2016-10-11 00:00:00,11799.99,"AB Tábor spol. s.r.o.",26025523
T004/16V/00037446,"TK, ME vozidel ktg. N2, N3 VP Tábor",2016-10-11 10:46:34.452,2016-10-11 00:00:00,2810.00,"PETA servis, spol. s r.o.",43833390
T004/16V/00033473,"Výroba zabezpečovacích 35 mm intermediát pozitivů z filmových negativů.",2016-09-16 06:35:47.814,2016-10-11 00:00:00,549.25,"Ateliéry Bonton Zlín a.s.",45356483
T004/16V/00036974,"10. plnění - RS Smluvní stravování formou stravovacích poukázek v roce 2016 ",2016-10-07 10:37:41.106,2016-10-11 00:00:00,94010.00,"Edenred CZ s.r.o.",24745391
T004/16V/00033594,"Spotřební materiál",2016-09-16 12:18:08.977,2016-10-11 00:00:00,9345.80,"Eppendorf Czech & Slovakia s.r.o.",27939031
T004/16V/00036441,"Konference: Daňový řád 2016.",2016-10-05 10:58:51.758,2016-10-11 00:00:00,1995.00,"1. VOX a.s.",27204987
T004/16V/00033564,"Propagační materiál",2016-09-16 11:07:14.895,2016-10-11 00:00:00,19200.00,"MARELL s.r.o.",28328442
T004/16V/00034741,"Školení „Tvorba databázových aplikací pomocí ADO.NET",2016-09-23 10:39:06.591,2016-10-11 00:00:00,11844.00,"GOPAS, a.s.",63911035
T004/16V/00037438,"9 DP opakovaná technická kontrola (N3)",2016-10-11 10:31:46.177,2016-10-11 00:00:00,330.57,"Stanice technické kontroly Žatec, společnost s ručením omezeným se sídlem v Žatci",25005821
T004/16V/00037105,"RS - Opravy a servis vozidel na podvozku T 815 - obj. č.1.",2016-10-09 18:43:53.382,2016-10-11 00:00:00,50573.00,"AUTOOPRAVNY Prachatice s.r.o.",2492032
T004/16V/00037106," RS - Opravy a servis vozidel na podvozku T 815 - obj. č.2.",2016-10-09 18:46:15.364,2016-10-11 00:00:00,16643.00,"AUTOOPRAVNY Prachatice s.r.o.",2492032
T004/16V/00038525," plnění z RS - Doplňky stravy Nutrend",2016-10-17 14:48:11.808,2016-10-11 00:00:00,3766.00,"NUTREND D.S., a.s.",25853902
T004/16V/00037188,"BO - T-815 VVN VPZ: 382-38-66 ",2016-10-10 10:48:17.681,2016-10-11 00:00:00,49586.78,"OLOMOUCKÁ DOPRAVNÍ s.r.o.",27778479
T004/16V/00033068,"Pneumatiky na DVHM.",2016-09-14 06:41:35.948,2016-10-11 00:00:00,7961.58,"PNEUKOMPLET, s.r.o.",27740081
T004/16V/00036524,"DP: Přeprava materiálu a osob - Lysá Hora (1.DP)",2016-10-05 14:29:47.485,2016-10-11 00:00:00,0.00,"AK 1324, s.r.o.",47902744
T004/16V/00034525,"Nákup elektroterapeutického přístroje.",2016-09-22 10:47:16.569,2016-10-11 00:00:00,32975.00,"Medicton Group s.r.o.",27485391
T004/16V/00034358,"PS 0226 - Oprava sloupů veřejného osvětlení č. 504 Letiště Bechyně, 6440-0226-2016-081",2016-09-21 14:10:20.622,2016-10-11 00:00:00,150361.80,"ELEXPRES - ELEKTROSERVIS s.r.o.",47237546
T004/16V/00037259,"dílčí plnění - oprava techniky T-815 ARP 8x8 VPZ 360-05-93",2016-10-10 13:58:26.036,2016-10-11 00:00:00,18138.00,"DS Správa servisů, s.r.o.",47150602
T004/16V/00037274,"Výzva k dílčímu plnění č. 278/12/33/16/2016-4854, pneuservis - ŘÍJEN 2016",2016-10-10 14:28:11.461,2016-10-11 00:00:00,6214.93,"ContiTrade Services s.r.o.",41193598
T004/16V/00037285,"DP 86 - Údržba vozidla Škoda Octavia VPZ: 024-35-97",2016-10-10 14:46:49.074,2016-10-11 00:00:00,8264.46,"AUTODRUŽSTVO PRAHA",48030317
T004/16V/00037283,"DP 84 - Oprava vozidla Škoda Superb VPZ: 026-46-99",2016-10-10 14:46:39.545,2016-10-11 00:00:00,16528.00,"AUTODRUŽSTVO PRAHA",48030317
T004/16V/00037284,"DP 85- Údržba vozidla Škoda Octavia VPZ: 026-53-06",2016-10-10 14:46:44.586,2016-10-11 00:00:00,8264.46,"AUTODRUŽSTVO PRAHA",48030317
T004/16V/00037286,"DP 87 - Údržba vozidla Škoda Octavia VPZ: 961-62-62",2016-10-10 14:46:53.756,2016-10-11 00:00:00,8264.46,"AUTODRUŽSTVO PRAHA",48030317
T004/16V/00037294,"DP č. 35 - Smlouva o poskytování služeb na praní, žehlení a chemické čištění",2016-10-10 15:25:55.926,2016-10-11 00:00:00,1957.85,"CORAMEXPORT s.r.o.",25285271
T004/16V/00037295,"DP 88 - Údržba vozidla Škoda Octavia VPZ: 026-52-98",2016-10-10 15:32:15.657,2016-10-11 00:00:00,8264.46,"AUTODRUŽSTVO PRAHA",48030317
T004/16V/00037296,"DP 13 Provedení TK a měření emisí u 2 ks osobních vozidel - výzva k poskytnutí dílčího plnění",2016-10-10 15:39:11.48,2016-10-11 00:00:00,2314.05,"S T K Centrum spol. s r.o.",63997509
T004/16V/00037686,"Nákup siloměru",2016-10-12 09:58:09.294,2016-10-11 00:00:00,33041.00,"TECTRA a.s.",14892316
T004/16V/00037329,"Nákup technických plynů a nájem tlakových lahví - dílčí plnění č.35",2016-10-11 07:09:15.594,2016-10-11 00:00:00,500.00,"SIAD Czech spol. s r.o.",48117153
T004/16V/00037330,"Nákup technických plynů a nájem tlakových lahví - dílčí plnění č.36",2016-10-11 07:09:20.424,2016-10-11 00:00:00,7912.00,"SIAD Czech spol. s r.o.",48117153
T004/16V/00037333,"  Praní a chemické číštění v roce 2016 - 8.Dílčí plnění",2016-10-11 07:14:50.672,2016-10-11 00:00:00,2285.00,"PRAVO s.r.o.",28142292
T004/16V/00037334,"DP 81 -  Doobjednávka k údržbě vozidla Škoda Fabia VZP: 025-01-86",2016-10-11 07:16:40.199,2016-10-11 00:00:00,0.00,"AUTODRUŽSTVO PRAHA",48030317
T004/16V/00037337,"DP č.2 Nákup piva  na základě RS 784/5/188/2016-8660 ",2016-10-11 07:22:15.728,2016-10-11 00:00:00,6120.00,"VV TOP s.r.o.",49977202
T004/16V/00036616,"AHNM-RS 2016 malířské a podlahářské práce  VZÚ -kanceláře |VP",2016-10-06 08:49:13.441,2016-10-11 00:00:00,193065.00,"Roman Topinka",61082325
T004/16V/00036810,"DP- Kancelářské potřeby 2016",2016-10-06 14:20:52.703,2016-10-11 00:00:00,1086.00,"BÜROPROFI s.r.o.",62502034
T004/16V/00036624,"AHNM-RS 2016  malby po proteklinách MO/A , 5.P",2016-10-06 08:57:30.689,2016-10-11 00:00:00,30406.00,"Roman Topinka",61082325
T004/16V/00036633," AHNM-RS 2016 malířské a podlahářské práce  - MO Valy budova VII-INFO",2016-10-06 09:15:44.666,2016-10-11 00:00:00,76662.00,"Roman Topinka",61082325
T004/16V/00037369,"Plnění z RSoD č.j.8/46/9/2016-1373 VkP.č. 301/2016 - Servis a opravy vozidel PEUGEOT a FIAT v regionu Praha",2016-10-11 08:56:39.365,2016-10-11 00:00:00,4462.81,"Bohemia Car s.r.o.",61065200
T004/16V/00037389,"DP - Nákup PHM prostřednictvím odběrových karet",2016-10-11 09:21:53.372,2016-10-11 00:00:00,20661.16,"CCS Česká společnost pro platební karty s.r.o.",27916693
T004/16V/00037382,"DP - Nákup PHM prostřednictvím odběrových karet",2016-10-11 09:12:02.701,2016-10-11 00:00:00,20661.16,"CCS Česká společnost pro platební karty s.r.o.",27916693
T004/16V/00037392,"Dílčí plnění - servis kopírovacích strojů (obj. 220/2016)",2016-10-11 09:26:44.964,2016-10-11 00:00:00,28925.62,"Jiří Pytlík",76424286
T004/16V/00037399,"Přeprava osob a nákladu motorovým vozidlem kategorie M1-K pro Univerzitu obrany 2015 dílčí plnění č. 33",2016-10-11 09:42:07.514,2016-10-11 00:00:00,2892.56,"LESpor s.r.o.",26233983
T004/16V/00037419,"Objednávka č. 10 - Mimozáruční servis a údržba výdejníků vody",2016-10-11 10:06:36.13,2016-10-11 00:00:00,1864.63,"FONTANA WATERCOOLERS s.r.o.",25088289
T004/16V/00037422,"Objednávka č. 11 - Mimozáruční servis a údržba výdejníků vody",2016-10-11 10:10:50.526,2016-10-11 00:00:00,3490.27,"FONTANA WATERCOOLERS s.r.o.",25088289
T004/16V/00037115," 10. DP -nákup stravovacích poukázek za měsíc září 2016",2016-10-10 07:04:58.17,2016-10-11 00:00:00,117660.00,"Sodexo Pass Česká republika a.s.",61860476
T004/16V/00036716," AHNM-RS 2016 -malířské práce -Kasárna Na Julisce kuchyňský blok",2016-10-06 12:05:56.51,2016-10-11 00:00:00,113549.00,"Roman Topinka",61082325
T004/16V/00031227,"AHNM OdPFM – Prořez stromů  - VO Kanovnická",2016-09-01 09:23:14.755,2016-10-11 00:00:00,39350.00,"Ing. Jiří Sekyra",1178709
T004/16V/00036719,"Dílčí plnění k Rámcové smlouvě na opravy Ford Trazit a VW Transportér pro VZ 5512 Tábor, obj. č. 137/16",2016-10-06 12:14:52.588,2016-10-11 00:00:00,1487.00,"Radek Bednář",71780165
T004/16V/00036723,"Dílčí plnění smlouvy  č. 2/22/36/2015-551220  stravovací poukázky za 9/2016 obj.č. 138/16",2016-10-06 12:26:38.976,2016-10-11 00:00:00,21567.00,"Edenred CZ s.r.o.",24745391
T004/16V/00037448,"TK, ME vozidel VP, region Tábor",2016-10-11 10:56:23.56,2016-10-11 00:00:00,1620.00,"PETA servis, spol. s r.o.",43833390
T004/16V/00037452,"TK, ME vozidel VP, region Tábor",2016-10-11 11:04:15.252,2016-10-11 00:00:00,31388.00,"PETA servis, spol. s r.o.",43833390
T004/16V/00033207,"Oprava lůžkového monitoru",2016-09-14 13:41:47.466,2016-10-11 00:00:00,7923.00,"BIČELS SERVIS, s.r.o.",3383407
T004/16V/00033209,"Oprava odsávačky bater. LAERDAL LSU 4000",2016-09-14 13:43:26.707,2016-10-11 00:00:00,6530.00,"BIČELS SERVIS, s.r.o.",3383407
T004/16V/00031285,"Nákup ochranných pomůcek",2016-09-01 11:33:46.3,2016-10-11 00:00:00,7934.59,,
T004/16V/00030675,"Nákup EKO materiálu",2016-08-29 10:27:24.746,2016-10-11 00:00:00,109150.00,"EKOHAS s.r.o.",2270480
T004/16V/00031581,"Zásahové obleky pro příslušníky letištní hasící jednotky (2)",2016-09-05 09:28:33.739,2016-10-11 00:00:00,363240.00,"Požární bezpečnost s.r.o.",27660940
T004/16V/00034931," AHNM-RS 2016 malířské a podlahářské práce  - MO Valy budova I",2016-09-26 10:50:56.365,2016-10-11 00:00:00,27767.00,"Roman Topinka",61082325
T004/16V/00034936,"AHNM-RS 2016 -malířské práce KGP, OVL",2016-09-26 10:59:25.363,2016-10-11 00:00:00,18282.00,"Roman Topinka",61082325
T004/16V/00034946,"AHNM-RS 2016 -malířské práce a podl. krytiny KGP, AF",2016-09-26 11:09:14.917,2016-10-11 00:00:00,57331.00,"Roman Topinka",61082325
T004/16V/00035092,"VP č.1 z RS - 45 PBTK - Svářečka odběrových hadiček",2016-09-27 07:29:37.961,2016-10-11 00:00:00,7360.43,"Fresenius Kabi s.r.o.",25135228
T004/16V/00033977,"Nákup sterilizačních rolí plochých",2016-09-20 10:27:37.091,2016-10-11 00:00:00,6505.00,"DENT UNIT, s.r.o.",45538263
T004/16V/00035445,"Kalibrace a případné opravy na testovací stolici OBOGS-OBIGGS určené pro údržbu kyslíko dusíkového systému LT L-159ALCA",2016-09-29 09:58:25.471,2016-10-11 00:00:00,422701.00,"AERO Vodochody AEROSPACE a.s.",24194204
T004/16V/00035530," AHNM-RS 2016 -malířské práce a nátěry KGP,VP",2016-09-29 13:17:34.487,2016-10-11 00:00:00,77993.00,"Roman Topinka",61082325
T004/16V/00033661,"Nákup 2 ks kompresorových autochladniček/automrazniček",2016-09-19 07:36:27.932,2016-10-11 00:00:00,32920.00,"DALIX, s.r.o.",60728485
T004/16V/00029990,"kabely UTP",2016-08-23 10:14:17.003,2016-10-11 00:00:00,214723.05,"EMOS spol. s r.o.",19014104
T004/16V/00033438,"Akupack pro zářivkové nouzové svítidlo ",2016-09-15 14:33:58.47,2016-10-11 00:00:00,2688.00,"Fulgur Battman spol. s r.o.",63486229
T004/16V/00030363,"Akumulátory do techniky",2016-08-25 09:43:10.565,2016-10-11 00:00:00,102000.00,"Zdeněk Tutr",13756923
T004/16V/00034360,"Real-time PCR kit",2016-09-21 14:11:39.898,2016-10-11 00:00:00,15600.00,"GENERI BIOTECH s.r.o.",63221667
T004/16V/00032933,"Nákup stahovacích pásek PVC",2016-09-13 10:53:27.46,2016-10-11 00:00:00,3200.00,"METRODIS s.r.o.",25269844
T004/16V/00033616,"Patchcord optický",2016-09-16 13:29:02.756,2016-10-11 00:00:00,7650.00,"CEIT ",49434586
T004/16V/00033312,"RS - Revize, tlakové zkoušky a opravy HP",2016-09-15 09:26:08.395,2016-10-11 00:00:00,73063.35,"PHP - SERVIS, s.r.o.",29101352
T004/16V/00033766,"kabel UTP",2016-09-19 12:05:27.127,2016-10-11 00:00:00,2844.80,"Leoš Knötig",15233537
T004/16V/00033772,"RACK 19",2016-09-19 12:42:41.455,2016-10-11 00:00:00,3560.00,"CEIT ",49434586
T004/16V/00033132,"Servis a revize Thermoking",2016-09-14 10:03:45.623,2016-10-11 00:00:00,27849.00,"AUTODRÁB, spol. s r.o.",47541563
T004/16V/00033835,"Nákup lyžařského materiálu",2016-09-19 14:49:18.127,2016-10-11 00:00:00,58429.61,"Václav Laurýn",40012255
T004/16V/00033848,"Nákup horolezeckého materiálu",2016-09-19 15:18:07.263,2016-10-11 00:00:00,4645.00,"Trisport Havel s.r.o",25217666
T004/16V/00033193,"Nákup materiálu k zabezpečení chodu VŠZ Jívová a zabezpečení chodu právní služby 17/4/83/2016-5153 ",2016-09-14 13:17:51.09,2016-10-11 00:00:00,8740.00,"IF FACILITY a.s.",27720152
T004/16V/00034673,"Nákup gastro výdejního vozíku",2016-09-23 08:12:22.344,2016-10-11 00:00:00,50600.00,"Jaroslav Urban",64055485
T004/16V/00030980,"Výcvik instruktorů řidičů pro zvládání krizových situací",2016-08-30 14:50:29.968,2016-10-11 00:00:00,49586.78,"DEKRA CZ a.s.",49240188
T004/16V/00028913,"Hadice, tlakové koncovky,navíjecí buben a spojky",2016-08-15 10:35:35.139,2016-10-11 00:00:00,497600.00,"Leoš Váleček",86752511
T004/16V/00034942," AHNM-RS 2016 -malířské práce KGP, garáže",2016-09-26 11:04:14.553,2016-10-11 00:00:00,51236.00,"Roman Topinka",61082325
T004/16V/00034949," AHNM-RS 2016 -malířské práce a podl. krytiny-Kasárna Na Julisce",2016-09-26 11:14:15.3,2016-10-11 00:00:00,127159.00,"Roman Topinka",61082325
T004/16V/00032775,"Rukavice pro střelce",2016-09-12 12:58:30.241,2016-10-11 00:00:00,48600.00,"Randi Group s.r.o.",24119610
T004/16V/00031534,"Oprava zdrojové skříně (LP13)",2016-09-04 15:39:47.758,2016-10-11 00:00:00,6000.00,"MESIT defence",47912502
T004/16V/00034051,"Nákup pneumatik pro vozidla typu LRD 17/4/86/2016-5153",2016-09-20 13:14:25.643,2016-10-11 00:00:00,27776.00,"SKARAB, s.r.o.",25857631
T004/16V/00035539," AHNM-RS 2016  podlahářské práce  - MO Valy budova II",2016-09-29 13:26:10.012,2016-10-11 00:00:00,84392.00,"Roman Topinka",61082325
T004/16V/00035629,"2. DP -  Nákup technických plynů - kyslík, acetylén tech., CO2",2016-09-30 07:20:00.659,2016-10-11 00:00:00,4833.00,"Linde Gas a.s.",11754
T004/16V/00033366," Nákup technické posypové soli.",2016-09-15 11:49:40.965,2016-10-11 00:00:00,1329.90,"AB Tábor spol. s.r.o.",26025523
T004/16V/00030366,"Komůrky na IF",2016-08-25 09:54:48.066,2016-10-11 00:00:00,6260.00,"Merck spol. s r.o.",18626971
T004/16V/00033646,"Nákup průtokového injekčního automatu vhodný pro aplikaci u malých a velkých zvířat.",2016-09-18 12:28:42.828,2016-10-11 00:00:00,2395.38,"SG-VET, s.r.o.",47680440
T004/16V/00034021," AHNM-RS 2016 Malby a podlahové krytiny Strahov-Vamíčkova",2016-09-20 12:14:20.995,2016-10-11 00:00:00,255591.00,"Roman Topinka",61082325
T004/16V/00033965," AHNM-RS 2016 Malby a podlahové krytiny Kasárna Ořechovka",2016-09-20 09:57:12.544,2016-10-11 00:00:00,108139.00,"Roman Topinka",61082325
T004/16V/00031544,"Roční kontrola technologií PHM včetně kalibrace, revizí a měření účinnosti rekuperace par ",2016-09-05 07:36:03.123,2016-10-10 00:00:00,25900.00,"BMS 1, spol. s r.o.",25931563
T004/16V/00032469,"PS 0412 - Havárie - Oprava EPS KVV Ústí n.L.",2016-09-09 07:14:39.108,2016-10-10 00:00:00,4668.00,"ARANEA SYSTEMS a.s.",1676342
T004/16V/00032532,"Upřesnění balistická studie střelnice Loučka",2016-09-09 09:49:52.115,2016-10-10 00:00:00,15000.00,"Vojenský technický ústav, s.p.",24272523
T004/16V/00035488,"PS 0004-Vyčištění panelové plochy letiště Kbely",2016-09-29 11:46:37.416,2016-10-10 00:00:00,9930.00,"STAVOSPOL PRAHA spol. s r.o.",25638181
T004/16V/00029827,"Nákup bezdrátové mikrofonní sady",2016-08-22 10:53:11.527,2016-10-10 00:00:00,20163.00,"MusicData s.r.o.",26227142
T004/16V/00031078,"Provádění TP a ME vozidla do 3,5t - Lokalita Čeradice",2016-08-31 10:34:37.188,2016-10-10 00:00:00,1355.37,"Stanice technické kontroly Žatec, společnost s ručením omezeným se sídlem v Žatci",25005821
T004/16V/00035941,"PS 0014 Havárie - oprava (výměna) okenní klimatizace v místnosti RDA2 v objektu GŠ AČR, Vítězné nám. 1500/5, Praha 6.",2016-10-03 11:32:15.566,2016-10-10 00:00:00,26125.00,"BIMOK AIR, spol. s r.o.",15271501
T004/16V/00033824,"Kurz ""Daňový specialista",2016-09-19 14:36:55.715,2016-10-10 00:00:00,29700.00,"Centrum služeb pro podnikání s.r.o.",29028566
T004/16V/00033215,"Nákup čistících prostředků a kapaliny do ostřikovačů pro provoz techniky a provoz myčky.",2016-09-14 13:51:53.07,2016-10-10 00:00:00,91901.00,"Petr Slánský - SANS",72969717
T004/16V/00035347,"Výzva k poskytnutí plnění 147-16 Praha 026-37-73",2016-09-28 20:58:46.262,2016-10-10 00:00:00,817.00,"Pavel ŠKUBNÍK",71650768
T004/16V/00036809,"praní a chemické čištění říjen 2016",2016-10-06 14:20:28.176,2016-10-10 00:00:00,9875.00,"AD 7, spol. s r.o.",25598074
T004/16V/00036272,"   DP č.8 k RS provádění oprav vysokozdvižných motorových vozíků na rok 2016-2017",2016-10-04 13:54:55.987,2016-10-10 00:00:00,5120.66,"Jaroslav Horálek",44904690
T004/16V/00023105,"Vyznačení hranic vojenského újezdu Libavá 2016",2016-06-23 10:40:04.821,2016-10-10 00:00:00,599360.00,"KASKA s.r.o.",26080966
T004/16V/00030322,"Nákup technických plynů",2016-08-25 07:50:24.273,2016-10-10 00:00:00,2460.00,"SIAD Czech spol. s r.o.",48117153
T004/16V/00036269,"Výzva k poskytnutí plnění č.3 RS - Oprava OT kolové lehké (IVECO)",2016-10-04 13:49:14.53,2016-10-10 00:00:00,147321.75,"PRAGA-Export s.r.o.",27577171
T004/16V/00040775,"STÁŽ RIAPS",2016-10-31 06:52:04.952,2016-10-10 00:00:00,11060.00,"Centrum sociálních služeb Praha",70878277
T004/16V/00033342,"Nákup 12ks ochranných přileb.",2016-09-15 10:47:48.498,2016-10-10 00:00:00,43116.00,"IS STAR s.r.o.",27314588
T004/16V/00032485,"Test na detekci drog ze slin - 300ks",2016-09-09 08:02:18.959,2016-10-10 00:00:00,54300.00,"nal von minden GmbH",0
T004/16V/00036901,"Dílčí plnění - revize u 285 ks hasicích přístrojů (obj. 212/2012).",2016-10-07 08:24:28.569,2016-10-10 00:00:00,1177.68,"PHP - SERVIS, s.r.o.",29101352
T004/16V/00034453,"K 194 - nákup ochranných oděvů a pomůcek",2016-09-22 08:18:14.936,2016-10-10 00:00:00,2724.00,"Martin Bergl",42478430
T004/16V/00006765,"Stavební opravy a malování budov č. 2 a 6 - Dukelská kasárna Lipník nad Bečvou",2016-03-01 15:05:04.607,2016-10-10 00:00:00,536215.00,"Radomír Král",47860464
T004/16V/00036949,"DP - výzva k plnění RS - opravy osobních automobilů 2016-2017",2016-10-07 10:06:16.406,2016-10-10 00:00:00,1616.38,"Petr Habětínek",63604566
T004/16V/00036348," DP č.3 k RS na provádění oprav traktorů, kolových nakladačů, traktorových zametačů a příslušenství k těmto strojům na rok 2016-2018",2016-10-05 07:27:36.664,2016-10-10 00:00:00,31838.84,"DS Správa servisů, s.r.o.",47150602
T004/16V/00030717,"Nákup radiomagnetofonu",2016-08-29 12:34:15.315,2016-10-10 00:00:00,9218.18,"Michal Souček",47517611
T004/16V/00036392,"2016-17 Praní a chem. čištění 18. dp",2016-10-05 09:22:28.752,2016-10-10 00:00:00,3529.79,"PRVNÍ CHRÁNĚNÁ DÍLNA s.r.o.",28685521
T004/16V/00034573,"Školení leteckého pozemního personálu – síť DANESE",2016-09-22 13:13:50.818,2016-10-10 00:00:00,383471.07,"NET-SYSTEM s.r.o.",47784164
T004/16V/00037272,"Služební zvíře - pes (fena) č. 5 NO, BO - kategorie SP",2016-10-10 14:26:56.209,2016-10-10 00:00:00,61157.00,"Jaroslav Hlaváč",13344862
T004/16V/00032250,"Chemikálie",2016-09-08 08:45:07.656,2016-10-10 00:00:00,10240.00,"BioTech a.s.",25664018
T004/16V/00037331,"Služební zvíře - pes (fena) č. 6 NO, BO - kategorie HO",2016-10-11 07:09:57.498,2016-10-10 00:00:00,82562.00,"Pes profesionál s.r.o.",3566358
T004/16V/00034054,"Z předlohy: Z předlohy: Nákup mobilních klimatizací",2016-09-20 13:21:50.632,2016-10-10 00:00:00,106100.00,"Pavel Rašovský",49850776
T004/16V/00037130,"RS - Laboratorní veterinární vyšetření vzorků zvěře u SVÚ v období od 15.9.2016-15.8.2017.",2016-10-10 07:55:50.958,2016-10-10 00:00:00,1575.00,"Státní veterinární ústav Praha",19305
T004/16V/00031999,"Nákup bezpečnostních tabulek a značení pro BOZP",2016-09-07 08:20:53.786,2016-10-10 00:00:00,43006.04,"STRO.M Propagace s.r.o.",26721970
T004/16V/00037174,"Objednávka č. 31: Nákup kytic a věnců pro pietní akty",2016-10-10 09:56:20.509,2016-10-10 00:00:00,834.78,"Marek Václav",18776787
T004/16V/00037175,"Objednávka č. 32: Nákup kytic a věnců pro pietní akty",2016-10-10 09:59:05.717,2016-10-10 00:00:00,817.39,"Marek Václav",18776787
T004/16V/00037176,"Objednávka č. 33: Nákup kytic a věnců pro pietní akty",2016-10-10 10:02:12.767,2016-10-10 00:00:00,817.39,"Marek Václav",18776787
T004/16V/00036958,"DP - výzva k plnění RS - opravy a údržba vozidel Mikrobus a Minibus na období 2016-2017",2016-10-07 10:16:38.768,2016-10-10 00:00:00,4750.00,"PROAUTO HRADEC KRÁLOVÉ s.r.o.",27518141
T004/16V/00037299,"RS - Praní a chemické čištění prádla v posádce Tábor",2016-10-10 15:50:29.291,2016-10-10 00:00:00,389.80,"KATEV spol. s r.o.",25196332
T004/16V/00030698," Nákup ručního nářadí  k provádění  úklidu objektů.",2016-08-29 11:47:43.157,2016-10-10 00:00:00,25167.70,"Ing. Pavel Štefan",63383705
T004/16V/00032251,"Kontrola, údržba, naplnění hasivem HALON 2402 (láhve prázdné, je nutné mít vlastní hasivo) a tlakové zkoušky (RTN4) u 21ks tlakových nádob PPZ ",2016-09-08 08:45:12.649,2016-10-10 00:00:00,142800.00,"EAF protect s.r.o.",2142384
T004/16V/00031872,"kabely UTP",2016-09-06 12:23:26.318,2016-10-10 00:00:00,2854.80,"Leoš Knötig",15233537
T004/16V/00037302,"Objednávka č. 34: Nákup kytic a věnců pro pietní akty",2016-10-10 15:56:02.607,2016-10-10 00:00:00,834.00,"Marek Václav",18776787
T004/16V/00037303,"Objednávka č. 35: Nákup kytic a věnců pro pietní akty",2016-10-10 15:59:35.682,2016-10-10 00:00:00,800.00,"Marek Václav",18776787
T004/16V/00016057,"Vyčištění dešťových žlabů a svodů v kas.gen.Zahálky Hranice",2016-05-04 10:29:40.017,2016-10-10 00:00:00,31200.00,"Libor Kudláček",14620227
T004/16V/00032416,"Servisní údržba a kalibrace trhacích strojů",2016-09-08 14:31:04.523,2016-10-10 00:00:00,20000.00,"LABOR machine s.r.o.",27819574
T004/16V/00036613,"Dílčí plnění ŘÍJEN I. - praní a chemické čištění vojenského materiálu do 31.12.2016",2016-10-06 08:45:07.046,2016-10-10 00:00:00,1613.50,"VÍT SPÁČIL - prádelny a čistírny, spol. s r.o.",49450166
T004/16V/00037170,"Objednávka č. 30: Nákup kytic a věnců pro pietní akty",2016-10-10 09:51:32.72,2016-10-10 00:00:00,834.78,"Marek Václav",18776787
T004/16V/00027624,"PS 0344 - Zpracování projektové dokumentace pro opravu prostor Dozorčího posádky, skladu zbraní a POŠ",2016-08-03 12:38:50.49,2016-10-10 00:00:00,37000.00,"Saffron Universe s.r.o.",3595269
